#############################################
# term	total document / document frequency #
#############################################
SP	597.0
ST	190.531914894
Steve	895.5
summer	426.428571429
Sun	663.333333333
szlig	746.25
take	559.6875
tall	942.631578947
TCL	303.559322034
TD-SCDMA	716.4
Tel:	471.315789474
than	351.176470588
that	221.111111111
the	107.245508982
The	150.504201681
their	511.714285714
them	639.642857143
there	436.829268293
There	559.6875
they	436.829268293
They	688.846153846
this	337.924528302
This	484.054054054
time	331.666666667
to	121.836734694
TOM	716.4
too	688.846153846
top=	358.2
TOWER2	1279.28571429
two	597.0
Unifytruth	389.347826087
url	358.2
us	688.846153846
use	663.333333333
var	226.708860759
Verizon	1492.5
very	497.5
Vista	373.125
VoIP	1194.0
VS	96.8108108108
wall	852.857142857
WAP	814.090909091
was	373.125
WCDMA	852.857142857
we	344.423076923
Web	716.4
were	617.586206897
what	416.511627907
What	663.333333333
when	497.5
which	447.75
+width+	358.2
+width	358.2
width=	358.2
width	358.2
Wi-Fi	1053.52941176
Wii	1279.28571429
will	284.285714286
Windows	139.921875
with	199.0
without	778.695652174
would	511.714285714
WTA	484.054054054
www.cninfo.com.cn	688.846153846
www.KL178.com	119.4
WWW.KL178.COM	186.5625
www.sogou.com	18.6951983299
www.sse.com.cn	242.027027027
Xbox	365.510204082
+xc+	358.2
+xc	358.2
xc=	358.2
XML	1194.0
XP	559.6875
XX	331.666666667
XXX	778.695652174
+yc+	358.2
yc=	358.2
you	279.84375
You	559.6875
your	436.829268293
阿富汗	121.013513514
阿格布	639.642857143
阿根廷	184.639175258
阿森纳	170.571428571
埃弗顿	407.045454545
埃里克森	337.924528302
癌	111.242236025
癌变	559.6875
癌症	107.245508982
霭	145.609756098
爱	14.1246056782
爱国	184.639175258
爱国者	298.5
艾滋病	173.883495146
安排	12.1177266576
安全	11.0829207921
安装	55.6211180124
氨基酸	314.210526316
按摩	136.717557252
案例	55.6211180124
奥尼尔	471.315789474
奥运会	62.1875
澳	55.96875
八达岭	746.25
巴博萨	663.333333333
巴基斯坦	173.883495146
巴勒莫	381.063829787
巴洛克	995.0
巴士	275.538461538
把握	24.2682926829
靶场	542.727272727
白领	45.1133501259
白文杰	746.25
白血病	416.511627907
摆渡	511.714285714
百度	459.230769231
百姓	74.9372384937
败	42.9496402878
扳	238.8
扳回	314.210526316
扳平	398.0
斑	252.253521127
班	25.6223175966
班次	526.764705882
班级	203.522727273
班主任	255.857142857
板块	65.3649635036
版本	98.9502762431
版权	90.9137055838
伴有	344.423076923
办	16.5526802218
办公室	18.5403726708
办公桌	293.606557377
办理	35.395256917
办学	98.9502762431
半导体	232.597402597
半岛	101.186440678
半径	248.75
半决赛	98.9502762431
帮	25.0840336134
帮忙	111.242236025
包机	319.821428571
包括	4.93932708218
薄	21.7354368932
保	12.4808362369
保护区	426.428571429
保级	259.565217391
保健	73.1020408163
保健品	229.615384615
保荐	210.705882353
保送生	381.063829787
保障	18.3128834356
堡	141.023622047
宝茵	1194.0
报酬	117.828947368
报道	6.11680327869
报告	9.98327759197
报价	155.739130435
报考	42.2405660377
报名	35.748502994
报名点	577.741935484
报收	303.559322034
抱怨	64.6570397112
暴力	113.35443038
鲍春来	242.027027027
鲍尔默	1194.0
悲剧	112.641509434
杯	28.6102236422
北	23.1096774194
北部	100.617977528
北大	66.0885608856
北约	235.657894737
备查	245.342465753
备考	155.739130435
备战	96.2903225806
背包	337.924528302
背景	17.963891675
背诵	235.657894737
被叫	365.510204082
钡	24.5342465753
锛	15.6282722513
本版	29.3606557377
本报	11.8845388188
本次	21.6828087167
本届	104.736842105
本科	27.6388888889
本科生	86.1057692308
本来	23.5039370079
本轮	101.761363636
本题	814.090909091
本文	62.6223776224
本校	203.522727273
本职工作	325.636363636
本专科	688.846153846
比分	49.6121883657
比较	5.79611650485
比例	15.9341637011
比利	447.75
比赛	11.7519685039
笔	17.6801579467
笔记	213.214285714
笔记本	83.691588785
笔试	120.201342282
毕业	15.2295918367
毕业生	27.2602739726
泌	248.75
避免	17.91
避孕药	559.6875
编队	161.351351351
编后	103.526011561
编辑	11.2712397734
编译	109.207317073
编组	365.510204082
便秘	223.875
变成	17.5760549558
变更	88.2266009852
遍	35.325443787
标准	8.90601690701
飙升	210.705882353
表决	87.3658536585
表决权	180.909090909
表示	4.01030004478
表现	7.21304873137
表演	42.3404255319
宾馆	89.55
椕	15.4663212435
髌	132.666666667
兵	27.2188449848
兵力	78.8986784141
兵种	267.313432836
并发症	213.214285714
病	18.5403726708
病变	177.326732673
病毒	76.5384615385
病房	232.597402597
病理	279.84375
病例	145.609756098
病情	83.3023255814
病人	37.9449152542
病因	267.313432836
病症	218.414634146
拨款	142.142857143
播放	111.242236025
播放器	314.210526316
波动	92.3195876289
波音	167.38317757
菠菜	373.125
伯明翰	416.511627907
勃兰登堡	778.695652174
博客	179.1
博览会	186.5625
博物馆	58.338762215
不错	17.0085470085
不好	21.2455516014
不久	29.4572368421
不良	35.0489236791
不适	104.127906977
不幸	60.5067567568
不宜	70.790513834
不知	32.8021978022
补给	190.531914894
补缺	381.063829787
补助	143.28
布朗	245.342465753
布什	94.2631578947
步兵	168.962264151
步行	136.717557252
部	7.58576874206
部队	17.7151335312
部分	5.87791270102
部件	226.708860759
部门	7.66695205479
部署	28.6102236422
部位	63.2862190813
材料	24.3673469388
裁判	92.3195876289
裁员	167.38317757
财	50.0279329609
财产	22.5851197982
财年	124.375
彩电	255.857142857
采办	526.764705882
采购	37.7052631579
采用	12.6038001407
菜肴	223.875
参观	46.2790697674
参加	6.67785234899
参考	17.204610951
参考书	416.511627907
参谋	146.803278689
参谋长	142.142857143
参赛	107.245508982
参数	172.211538462
参演	255.857142857
餐馆	151.779661017
餐厅	104.127906977
餐饮	111.242236025
仓	75.8898305085
舱	110.555555556
藏	46.640625
操演	497.5
操作	19.4462540717
操作系统	114.807692308
曹国伟	778.695652174
测评	194.673913043
策划	54.9386503067
策略	28.4737678855
层次	30.932642487
曾	6.70033670034
曾经	12.5069832402
查尔顿	484.054054054
茶	69.9609375
蝉联	373.125
产量	107.891566265
产能	168.962264151
产品	8.01342281879
产生	8.84881422925
产业	20.1916572717
产业链	151.779661017
常见	38.8503253796
肠	111.242236025
肠癌	471.315789474
肠道	245.342465753
肠胃	226.708860759
长	5.4854517611
长传	559.6875
长春	103.526011561
长官	188.526315789
长虹	497.5
长期	12.3944636678
长阳	389.347826087
厂商	47.2559366755
场	5.45371498173
场地	93.7696335079
场上	47.76
唱	57.0382165605
超	16.3860933211
超薄	1377.69230769
超额	358.2
超前	75.2521008403
超音速	271.363636364
车	15.2946199829
车程	373.125
车辆	75.8898305085
车票	303.559322034
车站	138.837209302
臣	94.2631578947
陈	32.6824817518
陈芳	778.695652174
陈国强	617.586206897
陈礼明	1492.5
陈列	344.423076923
陈述	57.4038461538
陈水扁	170.571428571
陈涛	511.714285714
称	6.4773960217
乘客	150.504201681
乘坐	80.3139013453
城	18.8924050633
城堡	259.565217391
城市	10.5167351732
成	4.29084810733
成本	15.2166525064
成都	37.4686192469
成分	50.308988764
成功	7.31020408163
成绩	13.8515081206
成交	82.9166666667
成交量	109.877300613
成就感	226.708860759
成人	72.8048780488
成员	23.4731323722
承接	232.597402597
承诺	29.5544554455
承认	24.0725806452
盛名	365.510204082
程序	24.3012211669
吃	9.47117927023
吃饭	44.6633416459
吃苦	275.538461538
吃香	344.423076923
持	17.9458917836
持续	13.9052795031
持有	34.0494296578
迟到	210.705882353
充电	146.803278689
充血	497.5
冲刺	144.435483871
冲洗	271.363636364
仇恨	275.538461538
筹	126.126760563
筹码	155.739130435
酬	80.6756756757
出版	36.1818181818
出版社	73.7037037037
出差	127.021276596
出场	85.6937799043
出动	117.828947368
出港	746.25
出行	100.055865922
出界	617.586206897
出境	83.3023255814
出具	101.761363636
出入境	373.125
出色	38.4334763948
出身	85.6937799043
出台	29.9498327759
出题	242.027027027
出席	44.6633416459
出现	4.50792851749
出血	213.214285714
出游	92.7979274611
出战	213.214285714
出征	177.326732673
初中	98.4065934066
处	8.62716763006
处方	172.211538462
处理器	159.910714286
穿	19.9221357063
传感器	201.235955056
传球	168.962264151
传染病	203.522727273
传输	100.617977528
传统	11.0487353486
创出	186.5625
创新	18.7343096234
创业	68.0988593156
创意	77.1982758621
创作	72.8048780488
吹	23.0798969072
炊	85.6937799043
纯属	26.8113772455
磁盘	895.5
词	22.786259542
词汇	96.8108108108
词语	164.311926606
词组	436.829268293
辞退	577.741935484
辞职	69.6887159533
雌激素	275.538461538
此次	12.3687845304
此前	21.4234449761
此役	298.5
刺	39.449339207
刺激	26.2609970674
刺激性	416.511627907
次	2.62379138588
聪明	48.6684782609
从事	17.3883495146
从业	86.5217391304
从业者	255.857142857
辏	56.320754717
摧毁	101.761363636
村	40.520361991
村落	344.423076923
存储	150.504201681
存款	125.244755245
错	21.4748201439
错误	26.0698689956
搭档	263.382352941
答	45.6887755102
答案	31.9251336898
打电话	52.2157434402
打法	238.8
打工	86.9417475728
打击	21.0705882353
打交道	130.729927007
打入	134.661654135
大便	358.2
大臣	172.211538462
大夫	184.639175258
大幅	26.2995594714
大纲	98.4065934066
大关	180.909090909
大规模	36.3286004057
大国	75.2521008403
大会	30.82616179
大奖赛	180.909090909
大理	526.764705882
大连实德	167.38317757
大量	10.1243640475
大脑	72.2177419355
大盘	53.3035714286
大赛	75.5696202532
大胜	351.176470588
大学	7.53153910849
大学生	24.6694214876
大专	108.545454545
大自然	146.803278689
代	16.4765409384
代号	115.548387097
代理人	153.076923077
代码	73.4016393443
代谢	117.828947368
带宽	426.428571429
待客	511.714285714
待业	716.4
待遇	39.9776785714
戴	42.541567696
戴尔	232.597402597
贷款	47.6329787234
丹	124.375
丹麦	121.013513514
丹麦队	271.363636364
单词	139.921875
单打	117.058823529
单刀	471.315789474
单科	245.342465753
单日	351.176470588
单位	9.22720247295
单向	208.255813953
胆固醇	263.382352941
担	11.5922330097
担保	145.609756098
担负	117.828947368
蛋白	161.351351351
蛋白质	103.526011561
当代	65.6043956044
当地	13.6301369863
当地人	205.862068966
当局	69.1505791506
当年	20.4218928164
当日	38.025477707
当时	9.27498705334
党	38.3511777302
党委	103.526011561
档	22.4155193992
档案	69.9609375
倒	16.9763033175
导航	161.351351351
导弹	29.6523178808
导演	119.4
导游	90.9137055838
导致	9.92793791574
岛	32.7422303473
岛内	203.522727273
到达	38.8503253796
盗版	173.883495146
道	10.6989247312
道德	43.6829268293
得分	51.9130434783
得手	293.606557377
得体	229.615384615
德	17.9819277108
德国	21.1202830189
德智体	389.347826087
登记	45.0
登录	52.2157434402
邓肯	325.636363636
邓里	1194.0
邓小平	223.875
低空	248.75
低位	373.125
低于	27.5538461538
敌	38.025477707
敌方	150.504201681
敌人	50.308988764
迪	39.0196078431
迪士尼	716.4
迪斯尼	288.870967742
底部	158.495575221
底薪	426.428571429
抵抗力	248.75
地产	123.517241379
地处	116.298701299
地方	7.97772828508
地空导弹	436.829268293
地面	40.4288939052
地区	7.45628642798
地铁	144.435483871
地位	14.912572856
地形	120.201342282
地中海	288.870967742
帝	102.931034483
帝国	106.607142857
帝国主义	252.253521127
帝王	263.382352941
第11	104.736842105
第1	23.8164893617
第2	23.0205655527
第3	29.2647058824
第37	337.924528302
第4	42.7446300716
第5	50.593220339
第6	78.5526315789
第7	101.761363636
第9	118.609271523
第二十三	542.727272727
递	115.548387097
点播	716.4
点球	288.870967742
电	9.72312703583
电车	471.315789474
电磁	275.538461538
电话	11.9241011984
电话会议	1053.52941176
电力	74.625
电脑	19.9443207127
电视	21.4491017964
电视机	184.639175258
电信	51.0256410256
电信业	344.423076923
电影	32.6824817518
电子	14.5373376623
电子战	436.829268293
雕刻	325.636363636
雕塑	221.111111111
掉	14.8877805486
调查	10.5352941176
调剂	122.671232877
调节	50.308988764
调理	407.045454545
调整	10.2990224267
跌	49.4751381215
跌幅	275.538461538
丁	51.3180515759
顶头上司	663.333333333
定价	81.7808219178
定期	47.76
定向生	778.695652174
定制	279.84375
东	21.7883211679
东海	161.351351351
东航	559.6875
东京	51.9130434783
东南亚	100.617977528
东西	11.8061964403
东芝	526.764705882
冬季	149.25
懂	33.8563327032
懂得	49.4751381215
董	150.504201681
董事	60.303030303
董事长	43.0528846154
董事会	36.3286004057
动词	436.829268293
动力	22.786259542
动脉	358.2
动脉硬化	577.741935484
动物园	255.857142857
都江堰	778.695652174
斗	73.7037037037
斗争	48.8010899183
毒素	255.857142857
毒性	218.414634146
独家	63.5106382979
独特	37.0041322314
读	16.7226890756
读书	48.8010899183
读者	18.0544354839
度假	94.7619047619
度假村	416.511627907
杜一力	895.5
端	25.6958393113
短程	459.230769231
短期	30.8793103448
短途	484.054054054
短文	351.176470588
短语	577.741935484
对方	20.4452054795
对付	61.7586206897
对抗	44.2222222222
对口	255.857142857
对手	16.4917127072
对阵	112.641509434
队	9.87865416437
队长	136.717557252
队友	80.3139013453
队员	26.2225475842
盾	235.657894737
多媒体	112.641509434
夺得	67.5849056604
夺冠	79.6
俄	43.7897310513
俄国	226.708860759
俄军	447.75
俄罗斯	26.4940828402
俄语	344.423076923
恩波利	416.511627907
儿	38.599137931
儿童	41.0779816514
儿子	41.6511627907
二级	60.303030303
二十	43.0528846154
贰	39.2763157895
发病	94.2631578947
发病率	130.729927007
发布	13.5887708649
发车	617.586206897
发动	49.6121883657
发动机	86.5217391304
发行	43.6829268293
发球	303.559322034
发热	288.870967742
发射	44.2222222222
发射器	484.054054054
发审委	688.846153846
发生	6.57972079353
发生率	263.382352941
发送	98.9502762431
发现	5.09530583215
发炎	373.125
发言人	47.5066312997
发育	90.0
发展	3.89178617992
发展观	162.818181818
发作	154.396551724
罚	27.6816074189
罚球	337.924528302
法	12.5508058865
法定	82.534562212
法规	37.2349272349
法兰克福	263.382352941
法律	14.8384424192
法人	132.666666667
法人股	242.027027027
法学	145.609756098
繁殖	238.8
反	13.2274741507
反动	344.423076923
反对	24.5006839945
反对票	298.5
反革命	365.510204082
反击	72.5101214575
反抗	139.921875
反潜	229.615384615
反潜机	577.741935484
反弹	127.021276596
反应	18.6951983299
返	35.395256917
返程	542.727272727
犯规	164.311926606
范围	8.53670162059
范文	663.333333333
饭店	66.0885608856
饭碗	173.883495146
方案	13.5169811321
方便	27.7244582043
方法	9.92793791574
方式	5.60563380282
方正	617.586206897
房地产	44.6633416459
防护	129.782608696
防火墙	559.6875
防空	84.8815165877
防守	58.338762215
防卫	87.3658536585
防务	49.6121883657
防御	44.0049140049
防止	31.0398613518
防治	69.9609375
访谈	47.5066312997
放大	80.6756756757
放疗	303.559322034
菲尼克斯	459.230769231
飞行	32.9834254144
飞行员	84.8815165877
飞机	19.7900552486
肥胖	151.779661017
肺癌	337.924528302
肺部	337.924528302
肺炎	365.510204082
分	6.01814516129
分泌	97.3369565217
分泌物	298.5
分队	245.342465753
分公司	63.2862190813
分红	196.813186813
分解	123.517241379
分数	50.1680672269
分数线	96.2903225806
分析	7.18123496391
分钟	12.4634655532
分子	56.320754717
汾酒	358.2
份	9.02267002519
份额	44.3316831683
封	32.1543985637
封建	172.211538462
封锁	155.739130435
锋线	238.8
风光	69.4186046512
风景	72.8048780488
风景区	194.673913043
风貌	192.580645161
风情	92.3195876289
风味	149.25
风险	12.9407514451
冯晓芳	1628.18181818
奉	110.555555556
佛教	229.615384615
佛罗伦	511.714285714
夫人	97.3369565217
肤	229.615384615
幅度	37.2349272349
弗格森	398.0
服从	75.5696202532
服务	7.57614213198
服务器	132.666666667
服药	255.857142857
服役	83.691588785
服用	86.5217391304
福拉多	398.0
福利	68.358778626
俯瞰	542.727272727
腐败	76.2127659574
辅导	98.9502762431
辅导班	242.027027027
付费	175.588235294
付海峰	331.666666667
副作用	158.495575221
复	41.943793911
复出	263.382352941
复旦	94.2631578947
复发	213.214285714
复方	484.054054054
复试	242.027027027
复习	59.7
复制	72.8048780488
妇产科	365.510204082
妇科	190.531914894
妇女	42.9496402878
富含	218.414634146
父	70.790513834
父亲	45.2272727273
腹部	143.28
腹痛	416.511627907
腹泻	201.235955056
腹胀	426.428571429
覆盖	49.0684931507
负于	381.063829787
附件	157.105263158
附属	126.126760563
该行	267.313432836
该机	168.962264151
该校	109.207317073
改	13.2079646018
改错	778.695652174
改革	16.0627802691
改进	37.7052631579
改装	138.837209302
概览	1053.52941176
概论	436.829268293
盖茨	416.511627907
盖德	459.230769231
钙	109.877300613
干	14.4902912621
干活	210.705882353
干燥	114.807692308
肝	78.5526315789
肝癌	398.0
肝病	436.829268293
肝炎	245.342465753
肝硬化	526.764705882
肝脏	158.495575221
感	17.0896946565
感觉	10.6607142857
感冒	98.4065934066
感情	31.0398613518
感染	42.8468899522
感染者	511.714285714
淦	168.962264151
岗位	27.1775417299
肛门	559.6875
港	39.8
港股	559.6875
高	2.72519780889
高层	34.98046875
高等	153.076923077
高等教育	63.0633802817
高等学校	92.3195876289
高度	17.7678571429
高发	252.253521127
高级	16.4462809917
高考	27.7244582043
高空	158.495575221
高三	182.755102041
高速公路	184.639175258
高危	331.666666667
高位	168.962264151
高校	22.5283018868
高薪	89.1044776119
高血压	114.807692308
高原	141.023622047
高招	192.580645161
高职	149.25
高中	45.0
高中生	314.210526316
搞	15.9058614565
告诉	9.25103305785
郜林	577.741935484
哥哥	167.38317757
歌德	617.586206897
歌舞	238.8
格式	131.691176471
革命	36.4024390244
个性	38.9347826087
各地	20.4685714286
各科	398.0
各省	151.779661017
根本	11.4367816092
根治	235.657894737
跟踪	59.1089108911
更年期	351.176470588
供	13.7452033768
供应商	121.013513514
公办	238.8
公布	12.7292110874
公告	30.6153846154
公共课	617.586206897
公关	85.2857142857
公积金	168.962264151
公开赛	263.382352941
公里	23.88
公牛	526.764705882
公平	38.4334763948
公司	3.46086956522
公司法	167.38317757
公园	41.943793911
公正	58.9144736842
功能	13.7136294028
功效	111.242236025
宫殿	226.708860759
宫颈癌	639.642857143
工	30.4591836735
工程	16.6915191053
工程师	58.9144736842
工艺品	331.666666667
工资	31.3660245184
工作	3.3265230312
攻关	162.818181818
攻击	24.0080428954
攻击机	351.176470588
共产党	165.833333333
沟通	20.4685714286
狗	14.8630705394
狗肉	597.0
购房	188.526315789
购物	52.2157434402
购销	398.0
估	73.4016393443
古	29.7508305648
古堡	559.6875
古城	159.910714286
古代	52.9881656805
古迹	351.176470588
古建筑	436.829268293
古老	75.8898305085
古朴	542.727272727
古镇	337.924528302
杚	716.4
股	12.076871207
股本	87.3658536585
股东	26.2225475842
股东会	617.586206897
股份	20.633640553
股价	41.267281106
股票	26.9323308271
股权	32.5045372051
股市	67.3308270677
股数	293.606557377
股指	114.807692308
骨骼	245.342465753
骨质	398.0
鼓励	28.3386075949
故宫	298.5
故居	344.423076923
故里	436.829268293
故事	23.7218543046
雇主	177.326732673
顾萌	716.4
顾问	41.8457943925
挂牌	148.016528926
关岛	398.0
关键字	663.333333333
关口	143.28
关联	64.1935483871
关系	5.68210659898
官兵	60.303030303
官员	23.0798969072
观点	13.0065359477
观光	79.9553571429
观光客	778.695652174
观赏	133.656716418
管理	6.01006711409
管理层	80.6756756757
管理局	88.2266009852
管理者	106.607142857
馆	96.8108108108
冠	46.2790697674
冠军	26.4549483013
冠军杯	308.793103448
冠心病	389.347826087
光驱	1492.5
广场	47.2559366755
广电	298.5
广发	471.315789474
广告	22.8152866242
广告主	746.25
归纳	100.617977528
归属感	471.315789474
硅谷	71.9277108434
规定	9.09137055838
规范性	284.285714286
规划	18.7539267016
规律	32.0393559928
鬼	96.2903225806
桂林	143.28
贵阳	288.870967742
国	9.99441964286
国安	155.739130435
国奥	484.054054054
国奥队	351.176470588
国防	34.7766990291
国防部	42.7446300716
国防部长	78.8986784141
国防科工委	381.063829787
国航	597.0
国会	79.9553571429
国家	4.32295438088
国家队	86.5217391304
国美	597.0
国民	62.4041811847
国民党	95.2659574468
国有	49.75
国有股	639.642857143
国资	172.211538462
过程	7.20434432824
过度	46.2790697674
过户	381.063829787
过量	182.755102041
过敏	144.435483871
过敏性	526.764705882
咳嗽	208.255813953
孩子	14.4086886565
骸	31.9821428571
海	15.7105263158
海拔	159.910714286
海岛	288.870967742
海军	25.4765291607
海口	186.5625
海南	95.7754010695
海上	48.1451612903
海水	175.588235294
海滩	229.615384615
海湾	127.928571429
海峡	113.35443038
海鲜	263.382352941
海域	90.0
函	123.517241379
含	22.4155193992
含量	52.3684210526
含有	50.7365439093
汉光	303.559322034
汉文	542.727272727
汉语言	559.6875
杭州	63.0633802817
航	42.2405660377
航班	70.5118110236
航程	263.382352941
航行	170.571428571
航空	23.2899869961
航空兵	186.5625
航空母舰	170.571428571
航母	127.928571429
航天	69.6887159533
航线	88.6633663366
行	8.42031029619
行程	82.534562212
行动	14.3971061093
行情	26.3382352941
行使	113.35443038
行业	9.74959172564
毫克	365.510204082
毫米	101.186440678
毫升	279.84375
豪华	86.1057692308
貉	134.661654135
好	2.58889852559
好好	40.3378378378
好客	426.428571429
好像	31.5873015873
喝	23.8164893617
合格	41.8457943925
合适	28.8405797101
合同	25.1898734177
合作	10.8545454545
和平	38.7662337662
核	40.3378378378
核动力	325.636363636
核潜艇	170.571428571
核弹	436.829268293
核弹头	279.84375
核武	542.727272727
核武器	136.717557252
核心	19.0734824281
河	33.476635514
河谷	617.586206897
盍	192.580645161
荷兰	59.3046357616
黑客	358.2
恨	85.6937799043
横扫	223.875
轰炸机	133.656716418
宏观	79.2477876106
宏基	1628.18181818
红利	337.924528302
红牌	351.176470588
红外	259.565217391
红眼	526.764705882
红肿	416.511627907
后	2.040560556
后防	337.924528302
后防线	407.045454545
后勤	104.736842105
后人	186.5625
后世	303.559322034
后市	103.526011561
后卫	87.7941176471
呼吸	66.0885608856
呼吸道	279.84375
弧	39.6238938053
湖	50.0279329609
湖泊	275.538461538
湖面	484.054054054
胡萝卜	288.870967742
胡萝卜素	436.829268293
胡适	398.0
互联	288.870967742
互联网	32.2122302158
户外	161.351351351
护理	127.928571429
护卫舰	298.5
护照	271.363636364
沪	42.4407582938
沪市	252.253521127
花卉	298.5
花园	114.076433121
华盛顿	71.3545816733
华尔街	177.326732673
华纳	639.642857143
华瑞	279.84375
化工	100.617977528
化合物	192.580645161
化疗	221.111111111
化学	51.4655172414
画	41.3625866051
话	6.38502673797
话费	252.253521127
怀孕	108.545454545
坏	15.6967572305
坏死	497.5
欢	25.9565217391
桓	21.270783848
环境	7.80732345248
环球	94.7619047619
缓解	46.1597938144
患	20.7291666667
患病	182.755102041
患病率	497.5
患有	199.0
患者	27.5963020031
荒	32.9227941176
皇	22.556675063
皇帝	72.2177419355
黄	18.2941777324
黄疸	559.6875
黄蜂	459.230769231
