#############################################
# term	total document / document frequency #
#############################################
1030万	2985.0
∪	103.526011561
1-0	373.125
10-40万	2985.0
104%	1119.375
Ｉ	104.127906977
1.04	4477.5
10%	45.3417721519
104.6亿	5970.0
10.5	1492.5
1052	2238.75
10529410	4477.5
1055.HK	895.5
10.5亿	4477.5
10	6.04047217538
1.06	4477.5
10.6亿	4477.5
1074	3582.0
10801.67万	4477.5
1080i	5970.0
1080P	3582.0
1080万	2558.57142857
1：0	814.090909091
108	218.414634146
108.4	2985.0
10．	942.631578947
109亿	2985.0
10-K	5970.0
10M	5970.0
10分	129.782608696
10秒	852.857142857
10日	29.5544554455
10万	55.4489164087
10亿	132.666666667
10月	26.1459854015
1100	263.382352941
11：00	852.857142857
1100万	995.0
110259	2238.75
110%	852.857142857
111.00	4477.5
11．	1492.5
11	17.8564307079
11.19	4477.5
112.00	3582.0
11%-20%	4477.5
11-	2238.75
1%＋12	4477.5
1:1	2558.57142857
11%	303.559322034
11:30	484.054054054
Ｇ	113.35443038
1-1	381.063829787
1138.HK	2985.0
11.39亿	5970.0
1．	143.28
11514	3582.0
11.51%	5970.0
11.5%	1990.0
116.04%	1279.28571429
1：1	617.586206897
11724万	4477.5
○	117.828947368
117亿	3582.0
11944万	4477.5
11.96%	5970.0
11分	308.793103448
11秒	1492.5
11日	53.622754491
11月	28.2938388626
1200	130.729927007
1200亿	1791.0
120%	381.063829787
12:10	1990.0
12130698	4477.5
12．	1377.69230769
12	14.0801886792
12-14	995.0
12.15%	3582.0
121-90	1791.0
12:20	2238.75
12%	203.522727273
1-2	232.597402597
1:2	2558.57142857
12300	3582.0
12.31	4477.5
12315	2238.75
1.23	4477.5
12345678	995.0
12345678@sohu.com	995.0
1.2	373.125
123.78	2985.0
1240万	3582.0
1.24	2238.75
12462	4477.5
1249	5970.0
1250万	1628.18181818
〕	125.244755245
12593	3582.0
12.5亿	2558.57142857
12.6%	1990.0
1：	271.363636364
12717425	4477.5
1.2785	4477.5
12.7亿	5970.0
1.28%	3582.0
1299	942.631578947
12px	5970.0
12分	373.125
12秒	1628.18181818
1-2亿	3582.0
12亿	484.054054054
1.2亿	559.6875
12月	24.5679012346
13：00	1377.69230769
13：00-15：00	1053.52941176
13:00-15:00	942.631578947
13:00-17:00	4477.5
13:00	559.6875
1300万Skype	4477.5
1：3	1119.375
13．	1492.5
13%	208.255813953
13	20.9964830012
1320万	4477.5
13302万	2985.0
1-3	344.423076923
1350	1279.28571429
1359万	1119.375
13.67%	4477.5
1.	37.8646934461
1386	4477.5
13.86%	5970.0
1386年	2558.57142857
138.9万	2558.57142857
1390001234	4477.5
139000234	3582.0
13901111234	2238.75
1.39	3582.0
13分	398.0
13秒	459.230769231
13日	54.4376899696
1.3万	459.230769231
1400-1450	4477.5
14:00	511.714285714
140074	2985.0
1-4	1053.52941176
1.41	3582.0
14.1%	5970.0
14．	1628.18181818
14-	1990.0
14.1亿	5970.0
14	22.276119403
142654	3582.0
14288	2558.57142857
142亿	1990.0
14%	365.510204082
14％	447.75
14.5万	1053.52941176
146亿	1279.28571429
14.76	2238.75
14.89%	5970.0
ｆａ	1492.5
14.95	4477.5
1497	3582.0
1497.99	3582.0
14px	5970.0
14点	1119.375
14分	407.045454545
14秒	1194.0
14日	51.7630057803
14亿	814.090909091
15:00	426.428571429
1500	45.572519084
1503.24	1990.0
150%	852.857142857
1509	2238.75
150万	226.708860759
150亿	639.642857143
1510	1492.5
15	14.0580847724
15．	1628.18181818
151	716.4
1520	1492.5
15％	213.214285714
1：5	2238.75
15-	2238.75
1.52亿	2985.0
1531	1492.5
1531.16	1990.0
1532.75	2985.0
15.4	1791.0
1546	5970.0
1550	577.741935484
1554万	3582.0
15768	2558.57142857
15%	84.0845070423
158cm	3582.0
1595	1279.28571429
15px	5970.0
15分	165.833333333
15秒	716.4
15亿	471.315789474
1-6	1377.69230769
1613年	3582.0
1.61	4477.5
16．	1628.18181818
16.16亿	5970.0
16	20.146231721
1620万	3582.0
16%	238.8
16.2%	4477.5
16-	2558.57142857
ｃｙ	1628.18181818
16.3亿	2238.75
16.4%	1791.0
16：45	2985.0
16.	597.0
16.60%	5970.0
1670万	1990.0
1680万	3582.0
1.681亿	5970.0
168	288.870967742
168cm	3582.0
16分	542.727272727
16秒	1990.0
16日	54.7706422018
1.6亿	447.75
17.06%	5970.0
1.71	4477.5
17．	1628.18181818
172%	1119.375
17	25.5492154066
17-	2558.57142857
－	17.3043478261
17.3%	942.631578947
17.48%	5970.0
17.5%	2985.0
17.	688.846153846
1783	1791.0
ｆｌ	1791.0
17分	436.829268293
17秒	1791.0
1.7万	716.4
17亿	1279.28571429
1.7亿	942.631578947
18：00	942.631578947
18.09%	4477.5
1810年	4477.5
18:15	1990.0
18．	1628.18181818
18	19.6813186813
18-20%	1119.375
18:20	2985.0
18:25	2558.57142857
18-	2558.57142857
1.8	284.285714286
18.5%	2558.57142857
18:55	2985.0
18.57%	3582.0
18.5亿	895.5
1860万	5970.0
18.	688.846153846
1.8690	4477.5
18.7亿	5970.0
18.8	1990.0
18．8％	4477.5
1.88亿	3582.0
18分	426.428571429
18亿	459.230769231
1.8亿	942.631578947
1900万	2238.75
19.01%	3582.0
190亿	4477.5
19．	1990.0
1919年	617.586206897
1920×1080	3582.0
1.92	2985.0
1.92%	5970.0
19	26.3382352941
1927年	436.829268293
19.2亿	4477.5
19:30	1990.0
1930年	497.5
1934年	436.829268293
19:35	2985.0
1939年	407.045454545
19.40%	5970.0
1941年	511.714285714
1943年	407.045454545
1944年	542.727272727
1945年	208.255813953
℃	194.673913043
1946年	325.636363636
1947年	447.75
1948年	358.2
1949年	155.739130435
1950年	245.342465753
1952年	373.125
1953年	447.75
1959年	284.285714286
19.62%	5970.0
1.97	3582.0
1973年	471.315789474
197	814.090909091
1979年	223.875
1985万	3582.0
1987-1991	5970.0
1989-Present	5970.0
1990-Present	4477.5
1991年	141.023622047
1993.9--1997.7	3582.0
1997	597.0
19分	542.727272727
19秒	2238.75
19日	52.5219941349
19时	1119.375
1G	2558.57142857
1GB	2985.0
1x	5970.0
1xEV-DO	5970.0
1分	114.076433121
1秒	1628.18181818
1日	24.3342391304
1时	526.764705882
1万	68.8846153846
1亿	95.2659574468
1月	23.7533156499
200019	3582.0
2000-3000	2985.0
2000	30.5110732538
2000-4000	4477.5
20:00	895.5
2000万	164.311926606
2001年	34.179389313
200	24.1700404858
200-300	1628.18181818
2003年	21.4748201439
2004年	13.8944918542
2005-06	1377.69230769
200521	2985.0
2005	32.8623853211
200596	4477.5
2005CCTV	2238.75
2005年	8.87512388503
2006.05.09	2985.0
2006-05-09	995.0
2006-05-10	4477.5
2006-06-05	2985.0
2006-18	2558.57142857
2006-19	2985.0
2006	22.0295202952
2006-5-9	1791.0
2006年	6.8047112462
2007	164.311926606
200726	4477.5
200761	4477.5
2007年	43.5766423358
2008年	50.7365439093
200%	995.0
2009年	180.909090909
200km	4477.5
20％	105.976331361
2010年	68.6206896552
2011	2238.75
2011年	426.428571429
2012	1791.0
2:0	1279.28571429
2012年	389.347826087
2013年	1053.52941176
2.01	4477.5
2014年	1119.375
2015	2238.75
2015年	288.870967742
2017年	2558.57142857
2018年	852.857142857
20-	1990.0
20200	4477.5
2020年	173.883495146
20．	2238.75
2022年	4477.5
2025年	852.857142857
2.0	351.176470588
2035年	1492.5
2.04	2985.0
20.43%	4477.5
2-0	447.75
20459	4477.5
20%	48.6684782609
2.05	2238.75
2.06亿	5970.0
20	7.94940079893
20.7万	3582.0
2：0	814.090909091
20.	814.090909091
2090	4477.5
2.09万	1119.375
20GB	4477.5
20分	117.828947368
20日	37.7052631579
20时	895.5
20亿	221.111111111
21：00	2238.75
21:00	688.846153846
211	223.875
2:1	1791.0
2120	2238.75
2.12	4477.5
21	24.7034482759
21-	2558.57142857
21%	288.870967742
21:30	1628.18181818
2.13%	3582.0
21．	3582.0
2．	143.28
2-1	497.5
21%-50%	4477.5
2.16亿	5970.0
2：1	814.090909091
2.18	4477.5
21分	161.351351351
21秒	1492.5
21日	51.613832853
22:00	1053.52941176
2200万	1279.28571429
220	192.580645161
220万TEU	4477.5
2：2	1990.0
2220万	5970.0
22-	2238.75
2-	2238.75
2228	2985.0
22	30.8793103448
22.3%	1791.0
224	1119.375
2245	1492.5
22:45	2985.0
2250万	5970.0
2-2	577.741935484
2：	259.565217391
2270万	5970.0
2.27%	1990.0
227	814.090909091
22.	852.857142857
22.8%	852.857142857
22分	389.347826087
22秒	1377.69230769
22日	55.1076923077
2.2亿	716.4
23：00	2985.0
23.13％	5970.0
2316	2985.0
23-	1791.0
2323	2985.0
23:30	2238.75
23.31%	4477.5
23%	373.125
23	43.4708737864
23.5%	3582.0
23652	2558.57142857
2367亿	4477.5
237	1119.375
2379	2985.0
23.	895.5
2.38亿	1492.5
2390万	4477.5
2.	39.2763157895
23分	778.695652174
23秒	1628.18181818
23日	49.8885793872
2.3亿	1053.52941176
23亿	2238.75
2：4	1194.0
24157万	1791.0
2.42	1990.0
2422万	2985.0
24%	267.313432836
2442	3582.0
24.4	2985.0
2450万	5970.0
2460万	4477.5
246.88	4477.5
24.7%	1053.52941176
2.4	814.090909091
24.	814.090909091
2-4	895.5
24.98	5970.0
2.49亿	895.5
24hPoker	1279.28571429
24分	436.829268293
24秒	1053.52941176
24日	47.2559366755
25000-30000	5970.0
2500	119.4
250亿	895.5
25.11%	5970.0
2.5	179.1
2529.15万	5970.0
25-30	5970.0
ＳＦＤＡ	2558.57142857
ｒｙ	2558.57142857
25.5亿	2985.0
256MB	5970.0
25.6亿	2558.57142857
25.7%	995.0
2.5G	1194.0
25分	373.125
25秒	1628.18181818
2.60	852.857142857
2-6	2238.75
2.63	2558.57142857
264%	3582.0
26	44.552238806
2650	2985.0
2.66	3582.0
26.98%	3582.0
26分	814.090909091
26秒	1990.0
2.6亿	2558.57142857
270006	4477.5
27.	1279.28571429
27.16亿	3582.0
2720万	5970.0
27-	2985.0
27.3%	995.0
27	44.6633416459
27.63	5970.0
2.77%	4477.5
27.78%	4477.5
27SM	4477.5
27分	746.25
27秒	2238.75
27日	38.025477707
27亿	2238.75
2810亿	4477.5
28.	1279.28571429
28.3%	1119.375
28%	351.176470588
2838亿	3582.0
ｂ	284.285714286
288亿	3582.0
2.89271	4477.5
28.9亿	5970.0
2.8GHz	5970.0
28分	663.333333333
28秒	1628.18181818
28日	29.1219512195
2900万	3582.0
2.90%	2558.57142857
2909亿	4477.5
29.	1377.69230769
29.34%	1053.52941176
293亿	4477.5
29.4	2985.0
2.95	2558.57142857
29	54.4376899696
ＮＡＶ	2985.0
ｃａ	2985.0
2.98亿	3582.0
29.8亿	3582.0
2.99%	5970.0
29.97%	5970.0
29UB	4477.5
29分	852.857142857
29秒	1990.0
29日	54.2727272727
2B	1119.375
2E	3582.0
2G	814.090909091
2分	177.326732673
2时	365.510204082
2月	17.8564307079
3000	41.7482517483
3000-5000	3582.0
3000万	194.673913043
300	27.7674418605
300亿	484.054054054
30％	110.555555556
3：0	1194.0
30	12.0443846671
3.013	2238.75
3-0	1377.69230769
30.	1377.69230769
30.18%	5970.0
3020万	5970.0
30%	61.7586206897
30.70%	4477.5
30MKI	1492.5
30分	78.2096069869
31.09%	4477.5
311	1279.28571429
31.12	3582.0
31.	1492.5
3:1	1990.0
3.126亿	4477.5
3130万	2558.57142857
3.13	1791.0
3137.25万	4477.5
3.14%	3582.0
31%	497.5
3.154	4477.5
31	62.1875
3：1	663.333333333
3-1	716.4
3．	173.883495146
3180万	5970.0
31832	1990.0
3-	1990.0
31分	337.924528302
31秒	1791.0
31日	49.2032967033
32.01	2558.57142857
Ｋ	32.0393559928
32.	1492.5
3：2	1628.18181818
3-2	1791.0
322	1194.0
3:2	2985.0
32%	436.829268293
32.49	1990.0
32	61.1262798635
32分	559.6875
32秒	1791.0
3-3	1279.28571429
33.	1628.18181818
3328	1628.18181818
3328.HK	3582.0
335	1628.18181818
33％	688.846153846
33	75.5696202532
3.3	778.695652174
3：	381.063829787
338万	1791.0
33分	995.0
33秒	1492.5
34.06	4477.5
34.12%	5970.0
34.	1628.18181818
3.	43.0528846154
34.4	2985.0
34%	497.5
34.4万	2985.0
34.7%	5970.0
34点	1492.5
34分	1279.28571429
34秒	1791.0
3500亿	2558.57142857
35.	1791.0
351亿	2238.75
35%	259.565217391
+=	358.2
ＭＰ	3582.0
358970万	4477.5
3.5G	4477.5
35秒	1492.5
360	146.803278689
3-6	1119.375
36.	1628.18181818
36％	1791.0
3.62%	3582.0
36.25%	5970.0
36.46%	4477.5
367.4亿	4477.5
367亿	436.829268293
36分	942.631578947
36秒	2238.75
37.	1377.69230769
37％	1791.0
3.72	2985.0
××	373.125
3.74%	5970.0
3.7	716.4
3789	5970.0
37分	1990.0
37秒	2238.75
37亿	2238.75
3.80%	3582.0
38.11%	4477.5
38.	1628.18181818
38%	365.510204082
3850	3582.0
Ｕ	38.5161290323
38.81%	5970.0
38分	942.631578947
38秒	1492.5
390万	1492.5
39.	1492.5
3.93	4477.5
3.9％	5970.0
39分	1492.5
39秒	1990.0
3B	4477.5
3C	688.846153846
3D	358.2
3G	119.4
3GPP	4477.5
3分	131.691176471
3秒	995.0
3日	44.775
3月	10.5477031802
3月份	142.142857143
4000-5000	4477.5
4000	62.6223776224
40.09%	5970.0
4：0	1377.69230769
40.	1628.18181818
40	19.7246696035
4023	3582.0
4:0	2985.0
4043.44	3582.0
4046.92	2238.75
4050	3582.0
40%	59.8996655518
☆	407.045454545
40.88	1279.28571429
4-0	895.5
40秒	1628.18181818
4.1%	1053.52941176
4-1	1377.69230769
41.	1492.5
4：1	1628.18181818
4:1	2985.0
4132.15	2558.57142857
4134.04	4477.5
4.14%	4477.5
415	1119.375
4160万	5970.0
418	293.606557377
4．	192.580645161
41秒	1279.28571429
4200	1279.28571429
42.13%	5970.0
42.	1628.18181818
4:2	2238.75
4.2%	2985.0
42.65%	4477.5
4.26-5.69	4477.5
4-2	746.25
4：2	852.857142857
42分	1053.52941176
42秒	1628.18181818
4-3	1377.69230769
43.	1628.18181818
4：3	1990.0
4-3-3	2985.0
43.5%	5970.0
43.62%	5970.0
4.36	4477.5
4.36亿	1119.375
4.37	2238.75
4.38	2558.57142857
4393亿	1791.0
43分	1119.375
43秒	2558.57142857
4400万	3582.0
4.41%	2985.0
44137	2238.75
44139	3582.0
44.	1492.5
4-4	1791.0
442	995.0
4.4%	3582.0
Ｔ	44.4416873449
446	2238.75
ｔｅｃＴｒａｄｅ	4477.5
ＳＰ	4477.5
44分	1628.18181818
44秒	2238.75
45104	1990.0
4510万	1194.0
45.	1628.18181818
4.	52.3684210526
45239	4477.5
4580万	4477.5
45879	4477.5
4590万	5970.0
＞＞＞	459.230769231
4.59%	2985.0
45nm	5970.0
45秒	1377.69230769
46.17%	4477.5
46.	1990.0
463	2238.75
46.3	4477.5
46464万	3582.0
464万	3582.0
46.65%	2558.57142857
4670万	4477.5
Ｈ	46.7624020888
4-6	895.5
46分	1492.5
46秒	1990.0
4711	1990.0
47.	1791.0
474	5970.0
4750万	5970.0
4.75%	4477.5
47%	617.586206897
47秒	1492.5
4800+	5970.0
4800	852.857142857
4.802亿	3582.0
48.	1791.0
4.85	4477.5
48分	942.631578947
48秒	1791.0
+49	1377.69230769
49.	1791.0
Ｒ	49.2032967033
494	1791.0
Ｓ	49.4751381215
4.958亿	3582.0
49秒	1990.0
4.9亿	2238.75
4A	1119.375
4G	1791.0
4GB	5970.0
4分	255.857142857
4秒	1492.5
4日	53.4626865672
4亿	267.313432836
4月	6.70535380007
5.000	2558.57142857
5000	42.1411764706
5000-8000	4477.5
500	28.4737678855
500KV	3582.0
500m	4477.5
500万	144.435483871
50％	106.607142857
50.	1990.0
Ｎ	50.308988764
505亿	5970.0
5.0	716.4
50.85%	5970.0
5.09亿	2985.0
50G	4477.5
50GB	5970.0
50点	2238.75
50分	162.818181818
50年	208.255813953
510	1377.69230769
Ｈ5Ｎ1	1628.18181818
＞＞	511.714285714
51.	1990.0
512MB	5970.0
51%	314.210526316
5-	1377.69230769
51438	2558.57142857
Ｖ	51.613832853
51690108	4477.5
51690109	4477.5
51%-80%	4477.5
5.19	1119.375
5％	199.0
51job	3582.0
51分	1791.0
51秒	1628.18181818
51亿	4477.5
5200万	1990.0
5210万	5970.0
52.	1990.0
5-2	2238.75
523	2558.57142857
5.250	2985.0
525.5%	1119.375
5280万	2238.75
5.28	1119.375
5．	288.870967742
52秒	1628.18181818
5300	942.631578947
531.25	2985.0
53.	1628.18181818
53284	2558.57142857
5.33%	4477.5
53.35%	2985.0
535	3582.0
5.386亿	3582.0
ڡ	53.9457831325
53秒	1377.69230769
5400万	1990.0
54.	1791.0
Ｈ5	4477.5
5.4-6.3	995.0
54秒	1492.5
5.500	1990.0
5500	639.642857143
55098	3582.0
55.	1791.0
551亿	5970.0
5-5	2985.0
5.54亿	2558.57142857
5.55%	1990.0
5.56	1990.0
558	1194.0
559	1791.0
55秒	1194.0
56.17%	5970.0
56.	1990.0
5.61亿	4477.5
56.29%	5970.0
56.38%	4477.5
5.	66.828358209
5679	2558.57142857
5%	68.6206896552
56.88	4477.5
56点	1990.0
56秒	1377.69230769
57.	1990.0
5.71亿	5970.0
572	2985.0
5.750	2558.57142857
57.5	3582.0
Ｍ	57.7741935484
57秒	1628.18181818
5.7亿	814.090909091
580004	1628.18181818
580993	2985.0
580994	3582.0
58.	1628.18181818
5.81亿	5970.0
582004	2985.0
584	5970.0
58.4万	2238.75
58.51%	5970.0
5.85%	2985.0
58%	542.727272727
58821	2558.57142857
588	2558.57142857
5.88	4477.5
58秒	1628.18181818
590亿	1628.18181818
ߡ	59.3046357616
593	1119.375
ＧＣＤＦ	5970.0
ＴＣＬ	5970.0
5.97%	2985.0
5976	4477.5
59.81%	4477.5
5999	5970.0
59秒	1628.18181818
59亿	5970.0
5分	144.435483871
5日	39.0196078431
5亿	172.211538462
5月	6.34881247784
5月份	210.705882353
600007	4477.5
600012	942.631578947
600018	2985.0
6.000	2238.75
600026.SS	2985.0
600028	3582.0
600030	3582.0
600030.SH	4477.5
600053	1194.0
600089	4477.5
600118	4477.5
600121	1791.0
600123	4477.5
600128	4477.5
600220	1119.375
600238	1194.0
600%	2558.57142857
600354	3582.0
600396	2985.0
600408	4477.5
600416	2985.0
600422	1279.28571429
600456	2985.0
600472	4477.5
600580	3582.0
600606	4477.5
600618	4477.5
600631	4477.5
600655	4477.5
600720	4477.5
600739	4477.5
600787	2985.0
600809	2558.57142857
600827	4477.5
600843	4477.5
600861	2985.0
600888	2985.0
600961	4477.5
600万	226.708860759
6-0	2985.0
603	1377.69230769
60.5亿	5970.0
6.07亿	4477.5
60G	5970.0
60分	293.606557377
60亿	617.586206897
6100万	2238.75
6-1	1194.0
61.59％	3582.0
6-	1990.0
6200万	5970.0
622万	5970.0
6.24	1990.0
624	2558.57142857
62648	2558.57142857
6-2	716.4
627.45万	4477.5
62亿	1119.375
63073377	2985.0
630万	2238.75
6-3	1119.375
6.3	1119.375
6.3%	1628.18181818
632	1279.28571429
Ｊ	63.2862190813
635	1628.18181818
6．	373.125
6.39%	2558.57142857
63年	2558.57142857
6-4	1119.375
6436	1119.375
6.44	4477.5
64.47%	4477.5
64690729	106.607142857
6.500	2985.0
65.	1990.0
65nm	3582.0
660万	942.631578947
6-6	2558.57142857
66806688-1234	2238.75
66881122-1234	1990.0
67657	4477.5
677	1377.69230769
68.25	4477.5
6.	84.8815165877
6.86	3582.0
6-8万	5970.0
68亿	4477.5
69.	1990.0
6.9	2238.75
6.94亿	4477.5
69.77	3582.0
69分	1791.0
6C	2238.75
6分	263.382352941
6秒	1628.18181818
6日	29.8003327787
6时	436.829268293
6万	180.909090909
6亿	293.606557377
7.00	1492.5
70188	4477.5
70.	1990.0
70	36.2550607287
7.04	4477.5
ｃ	70.5118110236
7.05亿	4477.5
70%-80%	2238.75
70分	852.857142857
7.	102.342857143
71.	1990.0
71.62%	3582.0
7-	1628.18181818
7200万	2238.75
720p	5970.0
7.25%	5970.0
72M	5970.0
7339	2558.57142857
73.87%	2985.0
73亿	995.0
74.04%	4477.5
741	3582.0
7470万	5970.0
747	1053.52941176
7473%	1492.5
7473.54%	2985.0
7．	497.5
74亿	4477.5
7500万	1791.0
7-5	1119.375
7.5	381.063829787
7550	2558.57142857
761	4477.5
76.	1990.0
7.62	1279.28571429
76	245.342465753
7-6	2985.0
763	2238.75
7.67	2985.0
76936	2238.75
77.02%	4477.5
7.75	1119.375
778	5970.0
	77.8695652174
78.	2238.75
7.85	2558.57142857
785	5970.0
7.8	688.846153846
7.87%	4477.5
790亿	5970.0
79.	2238.75
7XXX	5970.0
7点	279.84375
7分	303.559322034
7秒	2238.75
7日	22.4155193992
7时	331.666666667
7亿	511.714285714
8.00	1492.5
8.0040	4477.5
8.0050	4477.5
8.0065	3582.0
8.0070	2238.75
800-820-2004	426.428571429
8.0090	746.25
8.0140	4477.5
80％	144.435483871
802.11i	4477.5
802.16e	5970.0
80.	2238.75
80.43%	5970.0
806	2238.75
80GB	5970.0
80MB	5970.0
80分	436.829268293
810亿	4477.5
8.	114.807692308
81.43%	2558.57142857
8-	1791.0
8%	199.0
81%-99%	4477.5
8209万	4477.5
8.28	4477.5
8.30%	5970.0
831	2238.75
83.19%	5970.0
834	2558.57142857
8.37	1990.0
8482	2985.0
850万	2238.75
85266688.	1791.0
853	5970.0
85.5%	2558.57142857
8.5亿	895.5
870万	3582.0
8．	716.4
8.7%	2238.75
875	2238.75
8×8	3582.0
8.87亿	5970.0
889	1990.0
8900万	5970.0
8939	3582.0
895	2558.57142857
※	895.5
8965238	4477.5
8分	293.606557377
8秒	1492.5
8日	20.9718969555
8月	28.9337641357
900908	4477.5
900927	4477.5
900万	663.333333333
90％	196.813186813
90	36.9278350515
90分	559.6875
90亿	746.25
9.11	2238.75
913	2238.75
9.	145.609756098
9.15亿	5970.0
9-	1990.0
9.2812	1377.69230769
929	1990.0
9：30-11：30	746.25
9:30-11:30	942.631578947
9：30	577.741935484
9:30	639.642857143
93年	942.631578947
942	1791.0
944	1377.69230769
955	1194.0
9572546	4477.5
96.2亿	5970.0
96315	5970.0
966	1377.69230769
968	1791.0
970万	4477.5
972	1791.0
974	2558.57142857
9．	778.695652174
9786	2238.75
9.81%	2558.57142857
985	436.829268293
99	159.910714286
993	1990.0
▲	995.0
9点	221.111111111
9分	344.423076923
9秒	1628.18181818
9日	24.875
9月	29.1219512195
A-10	2238.75
A．	1791.0
A-18	995.0
A-18E	1492.5
A.	271.363636364
A-400M	4477.5
A：	484.054054054
A-50	3582.0
a.	778.695652174
a	99.5
AA	995.0
AAAA	2985.0
AAV7	1990.0
ABB	4477.5
ability	1628.18181818
ABL	3582.0
able	1492.5
about	351.176470588
above	1377.69230769
abstract	2985.0
AC	238.8
academic	2558.57142857
accept	2985.0
accepted	2985.0
Access	1628.18181818
access	1791.0
accident.	3582.0
According	1628.18181818
according	1791.0
accordingly	3582.0
account	1279.28571429
Account	4477.5
accumulate	3582.0
accurate	2238.75
achieved	3582.0
across	1990.0
ACTH	4477.5
action	1492.5
actually	2985.0
AD	1628.18181818
adapt	3582.0
adCenter	1791.0
AdCenter	2985.0
addition	2558.57142857
address	3582.0
Address：	995.0
adequate	2558.57142857
adj.	2985.0
Adobe	1791.0
Adolph	2985.0
ADR	4477.5
ADS	1791.0
ads	3582.0
ADSL	4477.5
advance	3582.0
advertising	2558.57142857
Aerospace	3582.0
AESA	3582.0
afford	2985.0
After	1791.0
after	688.846153846
again.	2238.75
again	2558.57142857
against	852.857142857
age	1990.0
Agency.com	5970.0
aggressive	3582.0
ago	1492.5
ago.	1628.18181818
agree	1791.0
agreement	3582.0
AH-1W	4477.5
A+H	3582.0
AH-64	2985.0
AH-64D	2985.0
ah-height	358.2
AHN	4477.5
ah=screen.availHeight-30	358.2
AIM-120	2985.0
AIM	1492.5
AIM-54	4477.5
AIM-9X	4477.5
air	2238.75
AJAX	5970.0
Alexa	3582.0
Alexanderplatz	4477.5
alike	2558.57142857
All	1492.5
all	325.636363636
allowed	3582.0
almost	1492.5
